月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月
2016年1月,"8
3.38","7
5.71
(87.00%)","4
6.0
(50.00%)","3
8.33
(37.00%)","1
8.0
(12.00%)","2
4.0
(25.00%)","2
1.0
(25.00%)","2
1.5
(25.00%)","1
3.0
(12.00%)","1
2.0
(12.00%)","1
1.0
(12.00%)","1
1.0
(12.00%)","1
1.0
(12.00%)","0

(0.00%)","2
2.0
(25.00%)","0

(0.00%)","2
1.0
(25.00%)"
2016年2月,,"95
1.34","24
2.13
(25.00%)","22
3.86
(23.00%)","9
10.22
(9.00%)","13
4.85
(13.00%)","12
9.83
(12.00%)","17
10.18
(17.00%)","15
15.4
(15.00%)","12
16.25
(12.00%)","15
21.6
(15.00%)","18
16.44
(18.00%)","15
19.8
(15.00%)","15
11.8
(15.00%)","15
6.33
(15.00%)","14
6.21
(14.00%)","17
10.53
(17.00%)"
2016年3月,,,"161
1.24","45
1.96
(27.00%)","19
2.47
(11.00%)","22
2.68
(13.00%)","8
3.0
(4.00%)","13
2.92
(8.00%)","16
2.56
(9.00%)","12
3.0
(7.00%)","13
3.62
(8.00%)","12
5.25
(7.00%)","15
1.93
(9.00%)","15
3.87
(9.00%)","14
5.14
(8.00%)","11
4.82
(6.00%)","12
4.58
(7.00%)"
2016年4月,,,,"588
1.63","127
2.24
(21.00%)","122
3.55
(20.00%)","108
2.86
(18.00%)","144
3.91
(24.00%)","133
4.3
(22.00%)","115
2.97
(19.00%)","149
5.86
(25.00%)","133
7.83
(22.00%)","94
5.56
(15.00%)","115
4.29
(19.00%)","145
6.3
(24.00%)","136
5.65
(23.00%)","139
6.12
(23.00%)"
2016年5月,,,,,"653
1.42","244
3.1
(37.00%)","176
3.04
(26.00%)","182
3.8
(27.00%)","195
4.14
(29.00%)","181
2.89
(27.00%)","199
4.66
(30.00%)","174
5.63
(26.00%)","114
4.11
(17.00%)","102
2.4
(15.00%)","119
5.09
(18.00%)","124
4.06
(18.00%)","115
5.2
(17.00%)"
2016年6月,,,,,,"900
1.83","330
2.84
(36.00%)","285
3.31
(31.00%)","277
3.64
(30.00%)","235
2.68
(26.00%)","264
4.45
(29.00%)","240
4.79
(26.00%)","188
3.74
(20.00%)","157
3.17
(17.00%)","220
4.84
(24.00%)","210
4.52
(23.00%)","199
4.7
(22.00%)"
2016年7月,,,,,,,"1097
1.74","477
3.75
(43.00%)","382
3.91
(34.00%)","300
3.01
(27.00%)","324
4.86
(29.00%)","274
5.49
(24.00%)","195
4.05
(17.00%)","187
3.95
(17.00%)","279
5.32
(25.00%)","247
5.01
(22.00%)","259
5.75
(23.00%)"
2016年8月,,,,,,,,"1838
1.96","708
3.84
(38.00%)","545
3.16
(29.00%)","556
4.81
(30.00%)","523
5.52
(28.00%)","367
4.5
(19.00%)","343
3.48
(18.00%)","502
4.86
(27.00%)","424
5.15
(23.00%)","445
5.3
(24.00%)"
2016年9月,,,,,,,,,"3325
1.73","854
2.74
(25.00%)","867
4.27
(26.00%)","769
5.55
(23.00%)","540
3.57
(16.00%)","484
3.37
(14.00%)","730
4.72
(21.00%)","670
4.51
(20.00%)","677
5.6
(20.00%)"
2016年10月,,,,,,,,,,"4122
1.56","1232
4.17
(29.00%)","920
5.48
(22.00%)","639
3.36
(15.00%)","525
3.17
(12.00%)","768
4.47
(18.00%)","710
4.1
(17.00%)","665
4.82
(16.00%)"
2016年11月,,,,,,,,,,,"4973
2.2","2128
4.56
(42.00%)","1300
3.35
(26.00%)","1060
2.93
(21.00%)","1407
4.25
(28.00%)","1249
3.99
(25.00%)","1196
4.53
(24.00%)"
2016年12月,,,,,,,,,,,,"5824
2.64","1862
3.29
(31.00%)","1315
3.1
(22.00%)","1770
4.29
(30.00%)","1482
4.0
(25.00%)","1383
4.47
(23.00%)"
2017年1月,,,,,,,,,,,,,"4308
1.93","1060
2.82
(24.00%)","1317
4.11
(30.00%)","1074
3.83
(24.00%)","947
4.82
(21.00%)"
2017年2月,,,,,,,,,,,,,,"3022
1.75","1412
4.77
(46.00%)","1044
4.56
(34.00%)","931
5.21
(30.00%)"
2017年3月,,,,,,,,,,,,,,,"16411
2.33","6658
4.23
(40.00%)","5149
4.44
(31.00%)"
2017年4月,,,,,,,,,,,,,,,,"19481
2.31","7045
4.2
(36.00%)"
2017年5月,,,,,,,,,,,,,,,,,"21619
2.48"
