月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月
2016年1月,8,"7
(87.00%)","4
(50.00%)","3
(37.00%)","1
(12.00%)","2
(25.00%)","2
(25.00%)","2
(25.00%)","1
(12.00%)","1
(12.00%)","1
(12.00%)","1
(12.00%)","1
(12.00%)","0
(0.00%)","2
(25.00%)","0
(0.00%)","2
(25.00%)"
2016年2月,,95,"24
(25.00%)","22
(23.00%)","9
(9.00%)","13
(13.00%)","12
(12.00%)","17
(17.00%)","15
(15.00%)","12
(12.00%)","15
(15.00%)","18
(18.00%)","15
(15.00%)","15
(15.00%)","15
(15.00%)","14
(14.00%)","17
(17.00%)"
2016年3月,,,161,"45
(27.00%)","19
(11.00%)","22
(13.00%)","8
(4.00%)","13
(8.00%)","16
(9.00%)","12
(7.00%)","13
(8.00%)","12
(7.00%)","15
(9.00%)","15
(9.00%)","14
(8.00%)","11
(6.00%)","12
(7.00%)"
2016年4月,,,,588,"127
(21.00%)","122
(20.00%)","108
(18.00%)","144
(24.00%)","133
(22.00%)","115
(19.00%)","149
(25.00%)","133
(22.00%)","94
(15.00%)","115
(19.00%)","145
(24.00%)","136
(23.00%)","139
(23.00%)"
2016年5月,,,,,653,"244
(37.00%)","176
(26.00%)","182
(27.00%)","195
(29.00%)","181
(27.00%)","199
(30.00%)","174
(26.00%)","114
(17.00%)","102
(15.00%)","119
(18.00%)","124
(18.00%)","115
(17.00%)"
2016年6月,,,,,,900,"330
(36.00%)","285
(31.00%)","277
(30.00%)","235
(26.00%)","264
(29.00%)","240
(26.00%)","188
(20.00%)","157
(17.00%)","220
(24.00%)","210
(23.00%)","199
(22.00%)"
2016年7月,,,,,,,1097,"477
(43.00%)","382
(34.00%)","300
(27.00%)","324
(29.00%)","274
(24.00%)","195
(17.00%)","187
(17.00%)","279
(25.00%)","247
(22.00%)","259
(23.00%)"
2016年8月,,,,,,,,1838,"708
(38.00%)","545
(29.00%)","556
(30.00%)","523
(28.00%)","367
(19.00%)","343
(18.00%)","502
(27.00%)","424
(23.00%)","445
(24.00%)"
2016年9月,,,,,,,,,3325,"854
(25.00%)","867
(26.00%)","769
(23.00%)","540
(16.00%)","484
(14.00%)","730
(21.00%)","670
(20.00%)","677
(20.00%)"
2016年10月,,,,,,,,,,4122,"1232
(29.00%)","920
(22.00%)","639
(15.00%)","525
(12.00%)","768
(18.00%)","710
(17.00%)","665
(16.00%)"
2016年11月,,,,,,,,,,,4973,"2128
(42.00%)","1300
(26.00%)","1060
(21.00%)","1407
(28.00%)","1249
(25.00%)","1196
(24.00%)"
2016年12月,,,,,,,,,,,,5824,"1862
(31.00%)","1315
(22.00%)","1770
(30.00%)","1482
(25.00%)","1383
(23.00%)"
2017年1月,,,,,,,,,,,,,4308,"1060
(24.00%)","1317
(30.00%)","1074
(24.00%)","947
(21.00%)"
2017年2月,,,,,,,,,,,,,,3022,"1412
(46.00%)","1044
(34.00%)","931
(30.00%)"
2017年3月,,,,,,,,,,,,,,,16411,"6658
(40.00%)","5149
(31.00%)"
2017年4月,,,,,,,,,,,,,,,,19481,"7045
(36.00%)"
2017年5月,,,,,,,,,,,,,,,,,21619
