月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月,2017年8月,2017年9月
2016年1月,9,5,33,22,8,5,0,2,5,2,2,6,4,0,6,3,5,11,39,11,26
2016年2月,,33,8,337,143,364,501,812,1282,892,1848,2118,1348,1304,2561,2297,2792,2835,2362,3029,2793
2016年3月,,,10,109,75,46,24,100,100,60,60,91,70,65,150,109,62,64,37,80,191
2016年4月,,,,236,72,137,87,173,116,132,146,138,81,133,223,182,237,342,257,332,392
2016年5月,,,,,300,634,648,677,1457,880,1694,1711,945,647,1693,1497,1611,1517,1265,1965,2304
2016年6月,,,,,,630,785,1013,1329,1175,2604,2478,1426,1170,2216,1996,2004,1669,1691,2376,2593
2016年7月,,,,,,,803,2029,2364,2113,3182,3321,2148,1813,4495,3963,4879,4127,4067,5067,5386
2016年8月,,,,,,,,1109,2708,2773,4732,7627,4592,3516,7402,6479,7611,7238,7031,7621,9260
2016年9月,,,,,,,,,953,1953,2977,3751,1694,1214,3394,3724,4255,4480,3770,4257,5428
2016年10月,,,,,,,,,,1486,4421,5128,2446,1732,4575,4146,4407,3739,3512,4205,4685
2016年11月,,,,,,,,,,,3329,7401,4117,2747,6018,4963,5286,5127,4324,4887,4840
2016年12月,,,,,,,,,,,,4659,5539,3488,8856,7729,8723,7725,7020,7835,7969
2017年1月,,,,,,,,,,,,,2171,1720,4396,3255,3506,2883,2706,2870,3193
2017年2月,,,,,,,,,,,,,,1528,7983,6069,6950,6197,6093,7031,8125
2017年3月,,,,,,,,,,,,,,,20862,32726,27949,24541,21030,25222,26035
2017年4月,,,,,,,,,,,,,,,,22603,30332,23715,19949,22807,24787
2017年5月,,,,,,,,,,,,,,,,,29289,36701,30320,32146,31501
2017年6月,,,,,,,,,,,,,,,,,,23674,30804,28594,27852
2017年7月,,,,,,,,,,,,,,,,,,,15637,20738,17585
2017年8月,,,,,,,,,,,,,,,,,,,,20398,23225
2017年9月,,,,,,,,,,,,,,,,,,,,,22372
