月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月,2017年8月,2017年9月,2017年10月,2017年11月,2017年12月,2018年1月
2016年1月,8,7,4,3,1,2,2,2,1,1,1,1,1,0,2,1,2,1,2,2,2,1,2,2,2
2016年2月,,96,25,22,9,13,12,17,15,12,15,18,15,15,16,14,17,14,16,11,12,11,15,16,7
2016年3月,,,165,46,20,24,9,14,17,13,14,14,17,16,15,12,13,16,11,12,16,11,15,24,7
2016年4月,,,,596,133,125,110,143,133,115,148,134,93,115,144,135,138,123,112,112,134,112,119,137,85
2016年5月,,,,,713,276,203,200,218,193,215,193,124,110,134,135,125,109,109,120,122,117,125,160,84
2016年6月,,,,,,919,331,280,273,230,262,233,188,154,216,208,197,211,163,180,177,160,176,220,118
2016年7月,,,,,,,1114,476,383,301,325,279,199,189,284,253,268,263,254,263,247,212,220,300,144
2016年8月,,,,,,,,1833,709,552,558,521,365,343,500,421,443,432,396,426,435,374,394,526,270
2016年9月,,,,,,,,,3334,864,872,773,544,483,731,673,677,639,551,618,673,556,586,783,419
2016年10月,,,,,,,,,,4164,1250,927,647,528,776,712,665,611,541,593,666,603,632,773,398
2016年11月,,,,,,,,,,,5024,2154,1315,1072,1424,1261,1207,1121,974,1008,1108,979,1109,1488,685
2016年12月,,,,,,,,,,,,5853,1878,1326,1774,1494,1387,1287,1135,1224,1215,1057,1236,1697,834
2017年1月,,,,,,,,,,,,,4332,1062,1321,1079,952,959,782,812,812,724,802,1143,544
2017年2月,,,,,,,,,,,,,,3035,1421,1054,932,805,706,707,779,641,726,934,489
2017年3月,,,,,,,,,,,,,,,16464,6694,5181,4452,3785,3706,3786,3217,3340,4637,2179
2017年4月,,,,,,,,,,,,,,,,19550,7081,5538,4504,4269,4142,3428,3563,4853,2210
2017年5月,,,,,,,,,,,,,,,,,21690,7904,5935,5477,5159,4140,4250,5856,2745
2017年6月,,,,,,,,,,,,,,,,,,21311,7162,5907,5363,4054,4199,5656,2728
2017年7月,,,,,,,,,,,,,,,,,,,17086,5032,4164,3006,3019,4049,1835
2017年8月,,,,,,,,,,,,,,,,,,,,22789,6166,3957,3663,4925,2154
2017年9月,,,,,,,,,,,,,,,,,,,,,22642,5049,4251,5207,2198
2017年10月,,,,,,,,,,,,,,,,,,,,,,19879,4105,4278,1726
2017年11月,,,,,,,,,,,,,,,,,,,,,,,21251,6078,2614
2017年12月,,,,,,,,,,,,,,,,,,,,,,,,32324,6801
2018年1月,,,,,,,,,,,,,,,,,,,,,,,,,34046
